Name,Conference,SOS,Comp Percent,Y/A,Att/TD,Att/INT,WR DR,Starter,Draft Position,Age,Height,Weight,Class,Adj.CarAV,Proj AV,Adj,Surplus
JP Losman,CUSA,-1.731,0.336038961,0.094827586,0.926605505,-0.366112957,0.59,2,22,22,74,224,Fail,2.86,5.720125,5.720125,-2.860125
Chris Redman,CUSA,-0.31,1.605042017,0.357798165,0.730368969,0.257995736,0.638,4,75,22,75,223,Fail,1.25,4.113112,4.113112,-2.863112
Dan Manucci,Big12,7.91,0.117977528,0.71,0.202212661,-0.832506203,0.638,2,116,21,74,196,Fail,0,2.869951,2.869951,-2.869951
EJ Manuel,ACC,1.021,1.378731343,1.56122449,0.567180617,-0.250574713,0.45,2,16,22,76,237,Fail,3,5.902051,5.902051,-2.902051
Tyler Wilson,SEC,4.771,0.277985075,1.153061224,0.317180617,-0.611494253,0.586,2,112,23,74,215,Fail,0,2.991235,2.991235,-2.991235
Ryan Nassib,ACC,1.582,0.333955224,0.744897959,0.425110132,0.135632184,0.554,3,110,22,74,227,Fail,0,3.051877,3.051877,-3.051877
Pat Barnes,PAC,2.81,1.001818182,1.088495575,0.980142971,1.585114806,0.532,2,110,21,75,215,Fail,0,3.051877,3.051877,-3.051877
Joe Germaine,Big10,4.77,0.884808013,1.188034188,0.561567164,1.473381295,0.901,3,101,23,74,225,Fail,0.25,3.324766,3.324766,-3.074766
Matt Barkley,PAC,2.15,0.557835821,1.255102041,1.236784141,-0.843678161,0.828,4,98,22,74,227,Fail,0.33,3.415729,3.415729,-3.085729
Kevin Kolb,CUSA,-1.882,1.498327759,1.656862745,0.783719074,3.97032967,0.519,4,36,22,75,218,Fail,2.17,5.295631,5.295631,-3.125631
Brodie Croyle,SEC,3.341,0.268060837,0.327272727,0.093614383,3.191780822,0.573,3,85,22,74,251,Fail,0.67,3.809902,3.809902,-3.139902
Rex Grossman,SEC,5.97,0.220883534,-0.338947368,0.064441887,-0.356321839,0.673,3,22,22,73,225,Fail,2.5,5.720125,5.720125,-3.220125
Isaiah Stanback,PAC,4.786,-0.876254181,-0.107843137,0.424581006,1.827472527,0.654,2,103,22,75,228,Fail,0,3.264124,3.264124,-3.264124
Patrick Ramsey,CUSA,-1.98,0.191489362,-0.422413793,0.358974359,0.123115578,0.476,3,32,22,74,225,Fail,2.14,5.416915,5.416915,-3.276915
Jamarcus Russell,SEC,2.635,1.531772575,1.950980392,0.958499601,0.385164835,0.703,2,1,21,78,265,Fail,3,6.356866,6.356866,-3.356866
Dave Ragone,CUSA,-1.93,-0.46184739,-0.654736842,0.579976985,0.314176245,0.536,3,88,23,75,221,Fail,0.25,3.718939,3.718939,-3.468939
Blaine Gabbert,SEC,2.179,0.600393701,-0.576923077,-0.967703349,1.137034434,0.67,2,10,21,76,234,Fail,2.6,6.083977,6.083977,-3.483977
Kevin O'Connell,MWC,3.706,-0.190839695,0,-0.91369863,1.168387097,0.61,4,94,22,77,220,Fail,0,3.537013,3.537013,-3.537013
Brock Huard,PAC,6.6,-0.217028381,-1.034188034,0.298507463,-0.584892086,0.569,3,77,22,76,232,Fail,0.5,4.05247,4.05247,-3.55247
Kyle Boller,PAC,3.9,-0.522088353,-0.444210526,0.964326812,0.442528736,0.456,4,19,21,75,220,Fail,2.25,5.811088,5.811088,-3.561088
Drew Stanton,Big10,-0.409,0.394648829,-0.41,0.143655227,-0.540659341,0.562,3,43,22,75,226,Fail,1.5,5.083384,5.083384,-3.583384
David Greene,SEC,3.949,0.2,1.372340426,0.961904762,2.052077562,0.539,4,85,22,75,226,Fail,0,3.809902,3.809902,-3.809902
Kellen Clemens,PAC,0.517,1.104562738,1.145454545,0.651580905,2.376386171,0.647,3,49,22,74,221,Fail,1,4.901458,4.901458,-3.901458
Charlie Whitehurst,ACC,4.289,1.75095057,0.236363636,-0.321760694,-0.118721461,0.563,4,81,23,77,226,Fail,0,3.931186,3.931186,-3.931186
Jack Thompson,PAC,5.58,-0.106741573,-0.19,0.562384757,-0.307692308,0.337,3,3,22,75,217,Fail,2.33,6.296224,6.296224,-3.966224
Matt Leinart,PAC,1.243,1.427756654,1.690909091,0.640421575,1.178082192,0.806,3,10,22,77,225,Fail,2,6.083977,6.083977,-4.083977
Ryan Mallett,SEC,4.373,0.856299213,2.019230769,1.04784689,-0.165144062,0.256,2,74,22,78,253,Fail,0,4.143433,4.143433,-4.143433
Cade McNown,PAC,6.4,0.567612688,2.042735043,0.611940299,-0.138848921,0.658,4,12,21,73,210,Fail,1.75,6.023335,6.023335,-4.273335
Andrew Walter,PAC,5.002,-0.014285714,0.308510638,1.051190476,0.532963989,0.614,3,69,22,78,230,Fail,0,4.295038,4.295038,-4.295038
Todd Blackledge,IND,10.27,0.260575296,0.787878788,0.683393502,-0.310488058,0.612,3,7,21,75,225,Fail,1.86,6.17494,6.17494,-4.31494
Marques Tuiasosopo,PAC,7.57,-0.490566038,-0.547368421,0.162735849,-0.305647841,0.531,2,59,21,73,220,Fail,0.17,4.598248,4.598248,-4.428248
John Beck,MWC,0.746,1.782608696,2.147058824,0.893056664,0.900549451,0.226,3,40,25,74,215,Fail,0.67,5.174347,5.174347,-4.504347
Brian Brohm,BigEast,3.865,1.06870229,1.704545455,0.935616438,0.170967742,0.515,3,56,22,75,223,Fail,0,4.689211,4.689211,-4.689211
Pat White,BigEast,3.052,1.123134328,-0.377358491,0.865131579,-0.045718433,0.554,4,44,22,72,205,Fail,0.14,5.053063,5.053063,-4.913063
Jimmy Clausen,IND,0.735,1.91091314,1.696629213,0.879186603,3.492146597,0.885,3,48,22,74,210,Fail,0,4.931779,4.931779,-4.931779
Brady Quinn,IND,2.208,0.545150502,0.18627451,0.925778132,1.701648352,0.62,4,22,22,75,235,Fail,0.5,5.720125,5.720125,-5.220125
Jim Druckenmiller,BigEast,2.43,0.510909091,1.088495575,0.888006354,1.387173397,0.48,2,26,24,77,234,Fail,0.25,5.598841,5.598841,-5.348841
Akili Smith,PAC,3.81,0.567612688,2.384615385,0.737406716,0.863309353,0.488,2,3,23,75,220,Fail,0.25,6.296224,6.296224,-6.046224
Ryan Leaf,PAC,4.71,0.044444444,2.311320755,0.879946345,0.299206349,0.535,2,2,21,77,235,Fail,0.25,6.326545,6.326545,-6.076545
